Recipe,Base Ingredients,Protein,Toppings / Dressing
Coconut Chia Pudding,"Chia seeds, coconut milk",Optional: almond butter,"Nuts, berries, coconut flakes"
Power Oats,"Oats, chia, hemp, flax, water",Peanut butter,"Banana, berries, coconut flakes, hemp seeds"
Superfood Breakfast Bowl,"Banana, açai, frozen berries",Almond butter,"Granola, fruit, coconut flakes"
Cacao Granola,"Oats, raw cacao, coconut oil, maple syrup, seeds",-,Ready-to-eat granola
Strawberry Protein Smoothie,"Cashew milk, banana, strawberries, oats",Protein powder,"Lime juice, chia, hemp"
Matcha Cloud Smoothie,"Coconut milk, yogurt, spinach, banana, matcha",Protein powder,-
Very Berry Smoothie,"Almond milk, banana, strawberries, blueberries",Almond butter,-
Roasted Vegetables,"Sweet potato, cauliflower, broccoli, sprouts, beets, eggplant",-,"Olive oil, herbs"
Pickled Vegetables,"Carrot, cucumber, onion, cauliflower, radish",-,"Pickling spices, vinegar, maple syrup"
Smokey Tempeh Marinade,Tempeh,-,"Soy sauce, maple syrup, paprika, cumin, coriander"
Green Habanero Dressing,"Avocado, lemon juice, garlic, herbs",-,Chili
Caesar Dressing,"Olive oil, avocado, mustard, nutritional yeast",-,"Soy sauce, capers, lemon"
Thai Peanut Dressing,"Peanuts, soy sauce, maple syrup",-,"Ginger, chili, citrus"
Yoghurt Mustard Dressing,"Greek yogurt, vinegar",-,Mustard
Miso Dressing,"Miso paste, olive oil, soy sauce",-,"Maple syrup, garlic, ginger"
Lemon Tahini Dressing,"Tahini, lemon, olive oil",-,"Garlic, cumin"
The Mexican Bowl,"Spinach, brown rice, black beans, sweet potato, corn",-,"Avocado smash, cherry tomato, jalapeño, habanero dressing"
Tokyo Greens Bowl,"Spinach, kale, broccoli, cucumber, edamame",Egg,"Avocado, miso dressing, almonds, furikake"
Salmon Taco Bowl,"Spinach, brown rice, black beans, sweet potato, red cabbage",Salmon,"Avocado, cherry tomato, lime, habanero dressing"
Miso Bowl,"Kale, brown rice, red cabbage, cucumber, broccoli, aubergine",Salmon,"Almonds, furikake, miso dressing"
Thai Peanut Bowl,"Spinach, brown rice, carrot, red cabbage, broccoli",Chicken,"Peanuts, Thai peanut dressing"
Balsamic Burrata Bowl,"Mixed lettuce, roasted pepper, grilled zucchini",Burrata,"Cherry tomatoes, sunflower seeds, balsamic dressing"
Kale Caesar Bowl,"Kale, cherry tomatoes, roasted chickpeas",Tempeh,"Avocado, Caesar dressing"
